Dept,total_sales,total_profit,average_discount,profit_margin
7,112237942.98,21908082.77,0.058881623931623925,0.19611746398321028
16,111869906.56,22200946.52,0.05763034188034188,0.19893817295979505
24,103797766.91,20657367.7,0.05657179487179488,0.1995479884098517
5,95859450.37,19252880.09,0.05784401709401709,0.20169317167976708
12,79870998.09,15917133.82,0.05682905982905982,0.19861601578409654
3,79682221.17,15764903.72,0.057843162393162395,0.19816473694808837
20,71565030.4,14298444.55,0.05793504273504274,0.199515105405462
10,63679932.74,12611430.96,0.056532478632478636,0.19809156809283646
1,63659906.5,12691506.36,0.05753974358974359,0.19856394618913073
28,63617694.66,12482028.2,0.05661495726495727,0.19640462202510306
